ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry;CustomerID;CustomerName;Address;City;Region;PostalCode;Country;Salesperson;OrderID;OrderDate;RequiredDate;ShippedDate;ShipperName;ProductID;ProductName;UnitPrice;Quantity;Discount;ExtendedPrice;Freight
Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;RATTC;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;Nancy Davolio;10316;9/27/1996;10/25/1996;10/8/1996;Federal Shipping;62;Tarte au sucre;39.4;70;0;2758;150.15
Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;USA;LONEP;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;USA;Michael Suyama;10317;9/30/1996;10/28/1996;10/10/1996;Speedy Express;1;Chai;14.4;20;0;288;12.69
Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK;ISLAT;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK;Laura Callahan;10318;10/1/1996;10/29/1996;10/4/1996;United Package;41;Jack's New England Clam Chowder;7.7;20;0;154;4.73
Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK;ISLAT;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK;Laura Callahan;10318;10/1/1996;10/29/1996;10/4/1996;United Package;76;Lakkalik��ri;14.4;6;0;86.4;4.73
Tortuga Restaurante;Avda. Azteca 123;M�xico D.F.;;5033;Mexico;TORTU;Tortuga Restaurante;Avda. Azteca 123;M�xico D.F.;;5033;Mexico;Robert King;10319;10/2/1996;10/30/1996;10/11/1996;Federal Shipping;17;Alice Mutton;31.2;8;0;249.6;64.5
Tortuga Restaurante;Avda. Azteca 123;M�xico D.F.;;5033;Mexico;TORTU;Tortuga Restaurante;Avda. Azteca 123;M�xico D.F.;;5033;Mexico;Robert King;10319;10/2/1996;10/30/1996;10/11/1996;Federal Shipping;28;R�ssle Sauerkraut;36.4;14;0;509.6;64.5
Tortuga Restaurante;Avda. Azteca 123;M�xico D.F.;;5033;Mexico;TORTU;Tortuga Restaurante;Avda. Azteca 123;M�xico D.F.;;5033;Mexico;Robert King;10319;10/2/1996;10/30/1996;10/11/1996;Federal Shipping;76;Lakkalik��ri;14.4;30;0;432;64.5
Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;WARTH;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;Steven Buchanan;10320;10/3/1996;10/17/1996;10/18/1996;Federal Shipping;71;Flotemysost;17.2;30;0;516;34.57
Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK;ISLAT;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK;Janet Leverling;10321;10/3/1996;10/31/1996;10/11/1996;United Package;35;Steeleye Stout;14.4;10;0;144;3.43
Pericles Comidas cl�sicas;Calle Dr. Jorge Cash 321;M�xico D.F.;;5033;Mexico;PERIC;Pericles Comidas cl�sicas;Calle Dr. Jorge Cash 321;M�xico D.F.;;5033;Mexico;Robert King;10322;10/4/1996;11/1/1996;10/23/1996;Federal Shipping;52;Filo Mix;5.6;20;0;112;0.4
K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;KOENE;K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;Margaret Peacock;10323;10/7/1996;11/4/1996;10/14/1996;Speedy Express;15;Genen Shouyu;12.4;5;0;62;4.88
K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;KOENE;K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;Margaret Peacock;10323;10/7/1996;11/4/1996;10/14/1996;Speedy Express;25;NuNuCa Nu�-Nougat-Creme;11.2;4;0;44.8;4.88
K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;KOENE;K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;Margaret Peacock;10323;10/7/1996;11/4/1996;10/14/1996;Speedy Express;39;Chartreuse verte;14.4;4;0;57.6;4.88
Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA;SAVEA;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA;Anne Dodsworth;10324;10/8/1996;11/5/1996;10/10/1996;Speedy Express;16;Pavlova;13.9;21;0.15000001;248.12;214.27
Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA;SAVEA;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA;Anne Dodsworth;10324;10/8/1996;11/5/1996;10/10/1996;Speedy Express;35;Steeleye Stout;14.4;70;0.15000001;856.8;214.27
Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA;SAVEA;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA;Anne Dodsworth;10324;10/8/1996;11/5/1996;10/10/1996;Speedy Express;46;Spegesild;9.6;30;0;288;214.27
Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA;SAVEA;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA;Anne Dodsworth;10324;10/8/1996;11/5/1996;10/10/1996;Speedy Express;59;Raclette Courdavault;44;40;0.15000001;1496;214.27
Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA;SAVEA;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA;Anne Dodsworth;10324;10/8/1996;11/5/1996;10/10/1996;Speedy Express;63;Vegie-spread;35.1;80;0.15000001;2386.8;214.27
K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;KOENE;K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;Nancy Davolio;10325;10/9/1996;10/23/1996;10/14/1996;Federal Shipping;6;Grandma's Boysenberry Spread;20;6;0;120;64.86
K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;KOENE;K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;Nancy Davolio;10325;10/9/1996;10/23/1996;10/14/1996;Federal Shipping;13;Konbu;4.8;12;0;57.6;64.86
K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;KOENE;K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;Nancy Davolio;10325;10/9/1996;10/23/1996;10/14/1996;Federal Shipping;14;Tofu;18.6;9;0;167.4;64.86
K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;KOENE;K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;Nancy Davolio;10325;10/9/1996;10/23/1996;10/14/1996;Federal Shipping;31;Gorgonzola Telino;10;4;0;40;64.86
K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;KOENE;K�niglich Essen;Maubelstr. 90;Brandenburg;;14776;Germany;Nancy Davolio;10325;10/9/1996;10/23/1996;10/14/1996;Federal Shipping;72;Mozzarella di Giovanni;27.8;40;0;1112;64.86
B�lido Comidas preparadas;"C/ Araquil, 67";Madrid;;28023;Spain;BOLID;B�lido Comidas preparadas;"C/ Araquil, 67";Madrid;;28023;Spain;Margaret Peacock;10326;10/10/1996;11/7/1996;10/14/1996;United Package;4;Chef Anton's Cajun Seasoning;17.6;24;0;422.4;77.92
B�lido Comidas preparadas;"C/ Araquil, 67";Madrid;;28023;Spain;BOLID;B�lido Comidas preparadas;"C/ Araquil, 67";Madrid;;28023;Spain;Margaret Peacock;10326;10/10/1996;11/7/1996;10/14/1996;United Package;57;Ravioli Angelo;15.6;16;0;249.6;77.92
B�lido Comidas preparadas;"C/ Araquil, 67";Madrid;;28023;Spain;BOLID;B�lido Comidas preparadas;"C/ Araquil, 67";Madrid;;28023;Spain;Margaret Peacock;10326;10/10/1996;11/7/1996;10/14/1996;United Package;75;Rh�nbr�u Klosterbier;6.2;50;0;310;77.92
Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;FOLKO;Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;Andrew Fuller;10327;10/11/1996;11/8/1996;10/14/1996;Speedy Express;2;Chang;15.2;25;0.2;304;63.36
Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;FOLKO;Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;Andrew Fuller;10327;10/11/1996;11/8/1996;10/14/1996;Speedy Express;11;Queso Cabrales;16.8;50;0.2;672;63.36
Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;FOLKO;Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;Andrew Fuller;10327;10/11/1996;11/8/1996;10/14/1996;Speedy Express;30;Nord-Ost Matjeshering;20.7;35;0.2;579.6;63.36
Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;FOLKO;Folk och f� HB;�kergatan 24;Br�cke;;S-844 67;Sweden;Andrew Fuller;10327;10/11/1996;11/8/1996;10/14/1996;Speedy Express;58;Escargots de Bourgogne;10.6;30;0.2;254.4;63.36
Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal;FURIB;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal;Margaret Peacock;10328;10/14/1996;11/11/1996;10/17/1996;Federal Shipping;59;Raclette Courdavault;44;9;0;396;87.03
Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal;FURIB;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal;Margaret Peacock;10328;10/14/1996;11/11/1996;10/17/1996;Federal Shipping;65;Louisiana Fiery Hot Pepper Sauce;16.8;40;0;672;87.03
Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal;FURIB;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal;Margaret Peacock;10328;10/14/1996;11/11/1996;10/17/1996;Federal Shipping;68;Scottish Longbreads;10;10;0;100;87.03
Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;SPLIR;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;Margaret Peacock;10329;10/15/1996;11/26/1996;10/23/1996;United Package;19;Teatime Chocolate Biscuits;7.3;10;5.00E-02;69.35;191.67
Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;SPLIR;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;Margaret Peacock;10329;10/15/1996;11/26/1996;10/23/1996;United Package;30;Nord-Ost Matjeshering;20.7;8;5.00E-02;157.32;191.67
Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;SPLIR;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;Margaret Peacock;10329;10/15/1996;11/26/1996;10/23/1996;United Package;38;C�te de Blaye;210.8;20;5.00E-02;4005.2;191.67
Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;SPLIR;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;Margaret Peacock;10329;10/15/1996;11/26/1996;10/23/1996;United Package;56;Gnocchi di nonna Alice;30.4;12;5.00E-02;346.56;191.67
LILA-Supermercado;Carrera 52 con Ave. Bol�var #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela;LILAS;LILA-Supermercado;Carrera 52 con Ave. Bol�var #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela;Janet Leverling;10330;10/16/1996;11/13/1996;10/28/1996;Speedy Express;26;Gumb�r Gummib�rchen;24.9;50;0.15000001;1058.25;12.75
LILA-Supermercado;Carrera 52 con Ave. Bol�var #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela;LILAS;LILA-Supermercado;Carrera 52 con Ave. Bol�var #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela;Janet Leverling;10330;10/16/1996;11/13/1996;10/28/1996;Speedy Express;72;Mozzarella di Giovanni;27.8;25;0.15000001;590.75;12.75
Bon app';"12, rue des Bouchers";Marseille;;13008;France;BONAP;Bon app';"12, rue des Bouchers";Marseille;;13008;France;Anne Dodsworth;10331;10/16/1996;11/27/1996;10/21/1996;Speedy Express;54;Tourti�re;5.9;15;0;88.5;10.19
M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;MEREP;M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;Janet Leverling;10332;10/17/1996;11/28/1996;10/21/1996;United Package;18;Carnarvon Tigers;50;40;0.2;1600;52.84
M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;MEREP;M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;Janet Leverling;10332;10/17/1996;11/28/1996;10/21/1996;United Package;42;Singaporean Hokkien Fried Mee;11.2;10;0.2;89.6;52.84
M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;MEREP;M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;Janet Leverling;10332;10/17/1996;11/28/1996;10/21/1996;United Package;47;Zaanse koeken;7.6;16;0.2;97.28;52.84
Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;WARTH;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;Steven Buchanan;10333;10/18/1996;11/15/1996;10/25/1996;Federal Shipping;14;Tofu;18.6;10;0;186;0.59
Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;WARTH;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;Steven Buchanan;10333;10/18/1996;11/15/1996;10/25/1996;Federal Shipping;21;Sir Rodney's Scones;8;10;0.1;72;0.59
Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;WARTH;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland;Steven Buchanan;10333;10/18/1996;11/15/1996;10/25/1996;Federal Shipping;71;Flotemysost;17.2;40;0.1;619.2;0.59
Victuailles en stock;"2, rue du Commerce";Lyon;;69004;France;VICTE;Victuailles en stock;"2, rue du Commerce";Lyon;;69004;France;Laura Callahan;10334;10/21/1996;11/18/1996;10/28/1996;United Package;52;Filo Mix;5.6;8;0;44.8;8.56
Victuailles en stock;"2, rue du Commerce";Lyon;;69004;France;VICTE;Victuailles en stock;"2, rue du Commerce";Lyon;;69004;France;Laura Callahan;10334;10/21/1996;11/18/1996;10/28/1996;United Package;68;Scottish Longbreads;10;10;0;100;8.56
Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland;HUNGO;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland;Robert King;10335;10/22/1996;11/19/1996;10/24/1996;United Package;2;Chang;15.2;7;0.2;85.12;42.11
Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland;HUNGO;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland;Robert King;10335;10/22/1996;11/19/1996;10/24/1996;United Package;31;Gorgonzola Telino;10;25;0.2;200;42.11
Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland;HUNGO;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland;Robert King;10335;10/22/1996;11/19/1996;10/24/1996;United Package;32;Mascarpone Fabioli;25.6;6;0.2;122.88;42.11
Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland;HUNGO;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland;Robert King;10335;10/22/1996;11/19/1996;10/24/1996;United Package;51;Manjimup Dried Apples;42.4;48;0.2;1628.16;42.11
Princesa Isabel Vinhos;Estrada da sa�de n. 58;Lisboa;;1756;Portugal;PRINI;Princesa Isabel Vinhos;Estrada da sa�de n. 58;Lisboa;;1756;Portugal;Robert King;10336;10/23/1996;11/20/1996;10/25/1996;United Package;4;Chef Anton's Cajun Seasoning;17.6;18;0.1;285.12;15.51
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10337;10/24/1996;11/21/1996;10/29/1996;Federal Shipping;23;Tunnbr�d;7.2;40;0;288;108.26
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10337;10/24/1996;11/21/1996;10/29/1996;Federal Shipping;26;Gumb�r Gummib�rchen;24.9;24;0;597.6;108.26
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10337;10/24/1996;11/21/1996;10/29/1996;Federal Shipping;36;Inlagd Sill;15.2;20;0;304;108.26
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10337;10/24/1996;11/21/1996;10/29/1996;Federal Shipping;37;Gravad lax;20.8;28;0;582.4;108.26
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10337;10/24/1996;11/21/1996;10/29/1996;Federal Shipping;72;Mozzarella di Giovanni;27.8;25;0;695;108.26
Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA;OLDWO;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA;Margaret Peacock;10338;10/25/1996;11/22/1996;10/29/1996;Federal Shipping;17;Alice Mutton;31.2;20;0;624;84.21
Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA;OLDWO;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA;Margaret Peacock;10338;10/25/1996;11/22/1996;10/29/1996;Federal Shipping;30;Nord-Ost Matjeshering;20.7;15;0;310.5;84.21
M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;MEREP;M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;Andrew Fuller;10339;10/28/1996;11/25/1996;11/4/1996;United Package;4;Chef Anton's Cajun Seasoning;17.6;10;0;176;15.66
M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;MEREP;M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;Andrew Fuller;10339;10/28/1996;11/25/1996;11/4/1996;United Package;17;Alice Mutton;31.2;70;5.00E-02;2074.8;15.66
M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;MEREP;M�re Paillarde;43 rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;Andrew Fuller;10339;10/28/1996;11/25/1996;11/4/1996;United Package;62;Tarte au sucre;39.4;28;0;1103.2;15.66
Bon app';"12, rue des Bouchers";Marseille;;13008;France;BONAP;Bon app';"12, rue des Bouchers";Marseille;;13008;France;Nancy Davolio;10340;10/29/1996;11/26/1996;11/8/1996;Federal Shipping;18;Carnarvon Tigers;50;20;5.00E-02;950;166.31
Bon app';"12, rue des Bouchers";Marseille;;13008;France;BONAP;Bon app';"12, rue des Bouchers";Marseille;;13008;France;Nancy Davolio;10340;10/29/1996;11/26/1996;11/8/1996;Federal Shipping;41;Jack's New England Clam Chowder;7.7;12;5.00E-02;87.78;166.31
Bon app';"12, rue des Bouchers";Marseille;;13008;France;BONAP;Bon app';"12, rue des Bouchers";Marseille;;13008;France;Nancy Davolio;10340;10/29/1996;11/26/1996;11/8/1996;Federal Shipping;43;Ipoh Coffee;36.8;40;5.00E-02;1398.4;166.31
Simons bistro;Vinb�ltet 34;Kobenhavn;;1734;Denmark;SIMOB;Simons bistro;Vinb�ltet 34;Kobenhavn;;1734;Denmark;Robert King;10341;10/29/1996;11/26/1996;11/5/1996;Federal Shipping;33;Geitost;2;8;0;16;26.78
Simons bistro;Vinb�ltet 34;Kobenhavn;;1734;Denmark;SIMOB;Simons bistro;Vinb�ltet 34;Kobenhavn;;1734;Denmark;Robert King;10341;10/29/1996;11/26/1996;11/5/1996;Federal Shipping;59;Raclette Courdavault;44;9;0.15000001;336.6;26.78
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10342;10/30/1996;11/13/1996;11/4/1996;United Package;2;Chang;15.2;24;0.2;291.84;54.83
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10342;10/30/1996;11/13/1996;11/4/1996;United Package;31;Gorgonzola Telino;10;56;0.2;448;54.83
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10342;10/30/1996;11/13/1996;11/4/1996;United Package;36;Inlagd Sill;15.2;40;0.2;486.4;54.83
Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;FRANK;Frankenversand;Berliner Platz 43;M�nchen;;80805;Germany;Margaret Peacock;10342;10/30/1996;11/13/1996;11/4/1996;United Package;55;P�t� chinois;19.2;40;0.2;614.4;54.83
Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany;LEHMS;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany;Margaret Peacock;10343;10/31/1996;11/28/1996;11/6/1996;Speedy Express;64;Wimmers gute Semmelkn�del;26.6;50;0;1330;110.37
Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany;LEHMS;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany;Margaret Peacock;10343;10/31/1996;11/28/1996;11/6/1996;Speedy Express;68;Scottish Longbreads;10;4;5.00E-02;38;110.37
Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany;LEHMS;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany;Margaret Peacock;10343;10/31/1996;11/28/1996;11/6/1996;Speedy Express;76;Lakkalik��ri;14.4;15;0;216;110.37
White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA;WHITC;White Clover Markets;305 - 14th Ave. S. Suite 3B;Seattle;WA;98128;USA;Margaret Peacock;10344;11/1/1996;11/29/1996;11/5/1996;United Package;4;Chef Anton's Cajun Seasoning;17.6;35;0;616;23.29
White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA;WHITC;White Clover Markets;305 - 14th Ave. S. Suite 3B;Seattle;WA;98128;USA;Margaret Peacock;10344;11/1/1996;11/29/1996;11/5/1996;United Package;8;Northwoods Cranberry Sauce;32;70;0.25;1680;23.29
QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;QUICK;QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;Andrew Fuller;10345;11/4/1996;12/2/1996;11/11/1996;United Package;8;Northwoods Cranberry Sauce;32;70;0;2240;249.06
QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;QUICK;QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;Andrew Fuller;10345;11/4/1996;12/2/1996;11/11/1996;United Package;19;Teatime Chocolate Biscuits;7.3;80;0;584;249.06
QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;QUICK;QUICK-Stop;Taucherstra�e 10;Cunewalde;;1307;Germany;Andrew Fuller;10345;11/4/1996;12/2/1996;11/11/1996;United Package;42;Singaporean Hokkien Fried Mee;11.2;9;0;100.8;249.06
Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;RATTC;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;Janet Leverling;10346;11/5/1996;12/17/1996;11/8/1996;Federal Shipping;17;Alice Mutton;31.2;36;0.1;1010.88;142.08
Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;RATTC;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA;Janet Leverling;10346;11/5/1996;12/17/1996;11/8/1996;Federal Shipping;56;Gnocchi di nonna Alice;30.4;20;0;608;142.08
Familia Arquibaldo;"Rua Or�s, 92";Sao Paulo;SP;05442-030;Brazil;FAMIA;Familia Arquibaldo;"Rua Or�s, 92";Sao Paulo;SP;05442-030;Brazil;Margaret Peacock;10347;11/6/1996;12/4/1996;11/8/1996;Federal Shipping;25;NuNuCa Nu�-Nougat-Creme;11.2;10;0;112;3.1
Familia Arquibaldo;"Rua Or�s, 92";Sao Paulo;SP;05442-030;Brazil;FAMIA;Familia Arquibaldo;"Rua Or�s, 92";Sao Paulo;SP;05442-030;Brazil;Margaret Peacock;10347;11/6/1996;12/4/1996;11/8/1996;Federal Shipping;39;Chartreuse verte;14.4;50;0.15000001;612;3.1
Familia Arquibaldo;"Rua Or�s, 92";Sao Paulo;SP;05442-030;Brazil;FAMIA;Familia Arquibaldo;"Rua Or�s, 92";Sao Paulo;SP;05442-030;Brazil;Margaret Peacock;10347;11/6/1996;12/4/1996;11/8/1996;Federal Shipping;40;Boston Crab Meat;14.7;4;0;58.8;3.1
Familia Arquibaldo;"Rua Or�s, 92";Sao Paulo;SP;05442-030;Brazil;FAMIA;Familia Arquibaldo;"Rua Or�s, 92";Sao Paulo;SP;05442-030;Brazil;Margaret Peacock;10347;11/6/1996;12/4/1996;11/8/1996;Federal Shipping;75;Rh�nbr�u Klosterbier;6.2;6;0.15000001;31.62;3.1
Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany;WANDK;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany;Margaret Peacock;10348;11/7/1996;12/5/1996;11/15/1996;United Package;1;Chai;14.4;15;0.15000001;183.6;0.78
Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany;WANDK;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany;Margaret Peacock;10348;11/7/1996;12/5/1996;11/15/1996;United Package;23;Tunnbr�d;7.2;25;0;180;0.78
Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;SPLIR;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA;Robert King;10349;11/8/1996;12/6/1996;11/15/1996;Speedy Express;54;Tourti�re;5.9;24;0;141.6;8.63
La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;France;LAMAI;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;France;Michael Suyama;10350;11/11/1996;12/9/1996;12/3/1996;United Package;50;Valkoinen suklaa;13;15;0.1;175.5;64.19
La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;France;LAMAI;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;France;Michael Suyama;10350;11/11/1996;12/9/1996;12/3/1996;United Package;69;Gudbrandsdalsost;28.8;18;0.1;466.56;64.19
Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;ERNSH;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;Nancy Davolio;10351;11/11/1996;12/9/1996;11/20/1996;Speedy Express;38;C�te de Blaye;210.8;20;5.00E-02;4005.2;162.33
Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;ERNSH;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria;Nancy Davolio;10351;11/11/1996;12/9/1996;11/20/1996;Speedy Express;41;Jack's New England Clam Chowder;7.7;13;0;100.1;162.33
